,REAL_LumpSum,REAL_Fixed_DCA,REAL_Smart_DCA,PROXY_LumpSum,PROXY_Fixed_DCA,PROXY_Smart_DCA
2025-05-09,-0.04920763245980653,-0.04888524920949244,-0.04888524920949244,-0.05566119186492924,-0.05611351777277285,-0.05611351777277285
2025-05-12,-0.0244348751185417,-0.0242290446971396,-0.0242290446971396,-0.0295412196312963,-0.02991089486875287,-0.02991089486875287
2025-05-13,-0.019344187709985583,-0.019154580608774174,-0.019154580608774174,-0.024135702365987277,-0.02448713898154864,-0.02448713898154864
2025-05-14,-0.018960899474080306,-0.018800374123847163,-0.018800374123847163,-0.023735519109760794,-0.024078704103712822,-0.024078704103712822
2025-05-15,-0.014424602550774712,-0.014244020477020669,-0.014244020477020669,-0.019283322836268657,-0.019646909986492322,-0.019646909986492322
2025-05-16,-0.009183049599879478,-0.009015846352834367,-0.009015846352834367,-0.013727226166337259,-0.014073249317954395,-0.014073249317954395
2025-05-19,-0.006876362141981396,-0.006698875345371724,-0.006698875345371724,-0.01174119104353133,-0.01211807389626518,-0.01211807389626518
2025-05-20,-0.008484714588605002,-0.008281432776295117,-0.008281432776295117,-0.013677631540331525,-0.014082232537175887,-0.014082232537175887
2025-05-21,-0.021791252197308597,-0.021551295911170776,-0.021551295911170776,-0.02780378342495826,-0.028253223630320012,-0.028253223630320012
2025-05-22,-0.02227791894692932,-0.022035072083919083,-0.022035072083919083,-0.028218753926358198,-0.028662230166723757,-0.028662230166723757
2025-05-23,-0.02533917566293431,-0.025080390956360832,-0.025080390956360832,-0.03183496792731455,-0.032317857939373584,-0.032317857939373584
2025-05-27,-0.009112801591829145,-0.008862116316569413,-0.008862116316569413,-0.014813252545905375,-0.015265547267183877,-0.015265547267183877
2025-05-28,-0.015316175819911404,-0.015060996141005312,-0.015060996141005312,-0.020934857187533407,-0.0213692148547161,-0.0213692148547161
2025-05-29,-0.01203675352307887,-0.011788672692194524,-0.011788672692194524,-0.017686171919759297,-0.018127577049230403,-0.018127577049230403
2025-05-30,-0.013272855986914744,-0.012994423402216793,-0.012994423402216793,-0.018793577131176464,-0.019230070155710988,-0.019230070155710988
2025-06-02,-0.007111240959013276,-0.006829503403000037,-0.006829503403000037,-0.012875677594311186,-0.01334261700224837,-0.01334261700224837
2025-06-03,-0.0034519801245284087,-0.0032123098876793987,-0.0032123098876793987,-0.00857646906297227,-0.008991723839633425,-0.008991723839633425
2025-06-04,-0.0018109397073559075,-0.001577665817114271,-0.001577665817114271,-0.007325120008292441,-0.007770889803730863,-0.007770889803730863
2025-06-05,-0.0054827448738038465,-0.005240035580161173,-0.005240035580161173,-0.011385485595715061,-0.011855527136124366,-0.011855527136124366
2025-06-06,0.0,0.0,0.0,-0.0018156752637126239,-0.0022570993434759545,-0.0022570993434759545
2025-06-09,0.0,0.0,0.0,-0.00070552593111739,-0.0011530098962566626,-0.0011530098962566626
2025-06-10,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-11,-0.0016355977237687558,-0.0016353104207833535,-0.0016353104207833535,-0.00187519338338904,-0.001889495302566102,-0.001889495302566102
2025-06-12,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-13,-0.011686073320016921,-0.011652249932136094,-0.011652249932136094,-0.011741237424623407,-0.011730409920019946,-0.011730409920019946
2025-06-16,-0.0032092444026806666,-0.0032090115201243163,-0.0032090115201243163,-0.0029769789692561943,-0.0029524448059502495,-0.0029524448059502495
2025-06-17,-0.012205792003155636,-0.01219129632913607,-0.01219129632913607,-0.011857072924578937,-0.011809702852544901,-0.011809702852544901
2025-06-18,-0.01166852790802364,-0.011641952840864223,-0.011641952840864223,-0.0113382294265989,-0.011296033283789919,-0.011296033283789919
2025-06-20,-0.015442196775590777,-0.015409609959108672,-0.015409609959108672,-0.014809407813294762,-0.014737417144689569,-0.014737417144689569
2025-06-23,-0.006783236855469887,-0.006773822195069945,-0.006773822195069945,-0.00594775902931477,-0.005871131653141126,-0.005871131653141126
2025-06-24,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-25,-0.0015242625319527026,-0.0015391231858062904,-0.0015391231858062904,-0.0014746471656749138,-0.0014639436260396321,-0.0014639436260396321
2025-06-26,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-27,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-30,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-01,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-02,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-03,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-07,-0.008718106414466131,-0.008703793547154892,-0.008703793547154892,-0.00857109919025667,-0.008546558832411733,-0.008546558832411733
2025-07-08,-0.007176163194127283,-0.00715057623232862,-0.00715057623232862,-0.007364660922968946,-0.007370622792086001,-0.007370622792086001
2025-07-09,-0.0015688171741746748,-0.0015420457827081124,-0.0015420457827081124,-0.0015804658842022423,-0.0015845135666375798,-0.0015845135666375798
2025-07-10,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-11,-0.004578500542671726,-0.004585079474946907,-0.004585079474946907,-0.004540492992575307,-0.004526227113357484,-0.004526227113357484
2025-07-14,-0.0026596179186100244,-0.0026717089755960988,-0.0026717089755960988,-0.002537782518483689,-0.002519578414196366,-0.002519578414196366
2025-07-15,-0.007588408389798129,-0.007627236814905514,-0.007627236814905514,-0.007600917814356012,-0.007576495077142087,-0.007576495077142087
2025-07-16,-0.0037114779999500858,-0.0037573001831432418,-0.0037573001831432418,-0.003739601373980772,-0.0037212653435999554,-0.0037212653435999554
2025-07-17,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-18,-0.0008784985202101581,-0.0008797828302992139,-0.0008797828302992139,-0.0008112018946259125,-0.0008037501701929628,-0.0008037501701929628
2025-07-21,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-22,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-23,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-24,-0.0018937096810128784,-0.001900585478059269,-0.001900585478059269,-0.0015783768748187654,-0.0015489008896560907,-0.0015489008896560907
2025-07-25,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-28,-0.003455815610944324,-0.0034764653738559304,-0.0034764653738559304,-0.002811824082598169,-0.002750605623179081,-0.002750605623179081
2025-07-29,-0.005705626671531516,-0.005719991141209579,-0.005719991141209579,-0.005262757105490845,-0.005214271550789684,-0.005214271550789684
2025-07-30,-0.008467403527202766,-0.008480568938739608,-0.008480568938739608,-0.007687221594361193,-0.007607885556000116,-0.007607885556000116
2025-07-31,-0.013442473465689497,-0.013455075450712117,-0.013455075450712117,-0.012549460274224877,-0.01245224704419945,-0.01245224704419945
2025-08-01,-0.02607296624404154,-0.026039194269249055,-0.026039194269249055,-0.026023243086971237,-0.025977451338285662,-0.025977451338285662
2025-08-04,-0.01214417175630389,-0.01213479685775165,-0.01213479685775165,-0.011755623819189043,-0.011703615387371302,-0.011703615387371302
2025-08-05,-0.01467820597116376,-0.014659099019063593,-0.014659099019063593,-0.014697386867290052,-0.014673591518155171,-0.014673591518155171
2025-08-06,-0.008263920760443244,-0.008251748668592351,-0.008251748668592351,-0.008196088577018812,-0.008176100797691932,-0.008176100797691932
2025-08-07,-0.006837397589506411,-0.006820629778602427,-0.006820629778602427,-0.007195168024635268,-0.0072111805115110394,-0.0072111805115110394
2025-08-08,-0.0016583358919172175,-0.001642532769252858,-0.001642532769252858,-0.0017601411588459293,-0.001765104579945942,-0.001765104579945942
2025-08-11,-0.0040800660278578205,-0.004065768444566742,-0.004065768444566742,-0.004170009064042968,-0.004168980949929235,-0.004168980949929235
2025-08-12,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-13,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-14,-0.002233267619413115,-0.0022098049776767548,-0.0022098049776767548,-0.0020503818142290076,-0.0020382330785817526,-0.0020382330785817526
2025-08-15,-0.0028093672382195622,-0.002773832977272961,-0.002773832977272961,-0.0029840273569166076,-0.003000541808152901,-0.003000541808152901
2025-08-18,-0.0021183694643557294,-0.0021018607985128224,-0.0021018607985128224,-0.002391306218603617,-0.0024107129353792,-0.0024107129353792
2025-08-19,-0.007175533049935123,-0.0071309761967535135,-0.0071309761967535135,-0.007652392502949801,-0.007685280714276099,-0.007685280714276099
2025-08-20,-0.008593760630848268,-0.00853435865994523,-0.00853435865994523,-0.009322677650006383,-0.009375424917046127,-0.009375424917046127
2025-08-21,-0.011988901063114787,-0.011929287231903007,-0.011929287231903007,-0.012737603552660293,-0.012785602515017369,-0.012785602515017369
2025-08-22,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-25,-0.005960772137317938,-0.00597137666198011,-0.00597137666198011,-0.005758327431528487,-0.005728793062237059,-0.005728793062237059
2025-08-26,-0.002871610522949597,-0.002888840759346256,-0.002888840759346256,-0.0023427761278104198,-0.00229273499954874,-0.00229273499954874
2025-08-27,-0.0017253976301013774,-0.001738300216637123,-0.001738300216637123,-0.0008504932668034204,-0.000777338658333182,-0.000777338658333182
2025-08-28,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-29,-0.0053214589834388315,-0.005311616695034882,-0.005311616695034882,-0.0054807958005402835,-0.00548420215583556,-0.00548420215583556
2025-09-02,-0.011889368049099902,-0.011881182505323218,-0.011881182505323218,-0.012158530287052827,-0.012157696859262934,-0.012157696859262934
2025-09-03,-0.008312799274128757,-0.008315446021799566,-0.008315446021799566,-0.008442140978944801,-0.008434413679235253,-0.008434413679235253
2025-09-04,-0.0013282928239035652,-0.0013288729263304377,-0.0013288729263304377,-0.0010220386872936693,-0.000994482547507114,-0.000994482547507114
2025-09-05,-0.0008883702696843576,-0.0008952903701174852,-0.0008952903701174852,-0.0010880671936940312,-0.0010977340951981995,-0.0010977340951981995
2025-09-08,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-09,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-10,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-11,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-12,-0.0019056515457941403,-0.0019081936851962356,-0.0019081936851962356,-0.0018196032634884007,-0.0018084787755587861,-0.0018084787755587861
2025-09-15,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-16,-0.0006503008801490573,-0.0006629830053483943,-0.0006629830053483943,-0.0008270860838652805,-0.0008355537813607983,-0.0008355537813607983
2025-09-17,-0.001392424027550243,-0.001425299170437988,-0.001425299170437988,-0.0016319424125722515,-0.0016384877129902442,-0.0016384877129902442
2025-09-18,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-19,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-22,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-23,-0.004081721800246463,-0.0040710686453344636,-0.0040710686453344636,-0.004378685116798842,-0.004395875591144405,-0.004395875591144405
2025-09-24,-0.008045575250139048,-0.00803972563162747,-0.00803972563162747,-0.008296148992284147,-0.008301464050032514,-0.008301464050032514
2025-09-25,-0.013445107738134787,-0.01343059298993643,-0.01343059298993643,-0.013696011453147472,-0.013693543079240977,-0.013693543079240977
2025-09-26,-0.008162881732362792,-0.00814439031195302,-0.00814439031195302,-0.008182353765362582,-0.008172413937175937,-0.008172413937175937
2025-09-29,-0.004913845347690793,-0.004903970760095966,-0.004903970760095966,-0.005088855629710176,-0.0050941434790309215,-0.0050941434790309215
2025-09-30,-0.0016310653036801792,-0.0016298905622808002,-0.0016298905622808002,-0.001806005677172151,-0.0018149719080606808,-0.0018149719080606808
